,Open,High,Low,Close,Adj Close,Volume,20_SMA,50_SMA,TP,std,MA-TP,BOLU,BOLD,macd,signal,hist,Supertrend,Final Lowerband,Final Upperband
534,659.2000122070312,660.7999877929688,652.9500122070312,657.4500122070312,657.4500122070312,1693851,636.35,637.97,657.0666707356771,8.812562535604284,636.0983327229817,653.7234577941903,618.4732076517731,,,,True,623.1359754497304,
535,658.0,677.5499877929688,656.4000244140625,668.6500244140625,668.6500244140625,4083029,638.1025024414063,639.1500009390024,667.5333455403646,11.160354914461548,637.6833333333334,660.0040431622565,615.3626235044103,,,,True,630.0596709665377,
536,668.6500244140625,670.2999877929688,656.5,660.9500122070312,660.9500122070312,4061914,639.5125030517578,639.9574087637442,662.5833333333334,12.316009204021878,639.2066670735677,663.8386854816115,614.5746486655239,,,,True,630.0596709665377,
537,656.0,658.9500122070312,642.7000122070312,650.2000122070312,650.2000122070312,4423644,640.7650024414063,640.3232160295759,650.6166788736979,12.093555384951353,640.4941670735677,664.6812778434704,616.307056303665,,,,True,630.0596709665377,
538,650.2999877929688,655.4000244140625,643.0,645.4500122070312,645.4500122070312,3735579,641.6175018310547,640.5000021046606,647.9500122070312,11.793919383085914,641.5325002034506,665.1203389696224,617.9446614372788,,,,True,630.0596709665377,
539,641.2000122070312,646.8499755859375,640.2999877929688,644.9000244140625,644.9000244140625,6827895,642.5650024414062,640.646669514974,644.0166625976562,11.039526917801947,642.5641662597657,664.6432200953695,620.4851124241618,,,,True,630.0596709665377,
540,4885.0,4980.9501953125,4881.2001953125,4940.89990234375,4940.89990234375,238713,4940.89990234375,4940.89990234375,4934.35009765625,,,,,,,,True,,
541,4956.0,5059.2998046875,4930.85009765625,5047.0498046875,5047.0498046875,451430,4993.974853515625,4993.974853515625,5012.39990234375,,,,,,,,True,,
542,5058.0,5096.0,5021.5,5082.5498046875,5082.5498046875,340699,5023.499837239583,5023.499837239583,5066.683268229167,,,,,,,,True,,
543,5075.0,5112.5,5033.0,5104.2001953125,5104.2001953125,201844,5043.6749267578125,5043.6749267578125,5083.2333984375,,,,,,,,True,,
544,5085.0,5144.89990234375,5071.5498046875,5106.5498046875,5106.5498046875,255038,5056.24990234375,5056.24990234375,5107.66650390625,,,,,,,,True,,
545,5115.0,5171.9501953125,5095.0498046875,5107.35009765625,5107.35009765625,353239,5064.7666015625,5064.7666015625,5124.783365885417,,,,,,,,True,,
546,5090.0,5203.9501953125,5065.0,5193.2998046875,5193.2998046875,396400,5083.128487723215,5083.128487723215,5154.083333333333,,,,,,,,True,,
547,5199.0,5238.7001953125,5160.0,5197.89990234375,5197.89990234375,405856,5097.474914550781,5097.474914550781,5198.86669921875,,,,,,,,True,,
548,5188.0,5188.0,5082.7998046875,5097.5498046875,5097.5498046875,344151,5097.483235677083,5097.483235677083,5122.783203125,,,,,,,,True,,
549,5100.0,5114.0,5011.60009765625,5085.14990234375,5085.14990234375,338124,5096.24990234375,5096.24990234375,5070.25,,,,,,,,True,4769.571641475403,
550,5086.0,5152.14990234375,5056.0,5147.5498046875,5147.5498046875,202004,5100.913529829545,5100.913529829545,5118.566569010417,,,,,,,,True,4811.542955086107,
551,5170.0,5170.0,5109.0,5139.89990234375,5139.89990234375,175355,5104.1623942057295,5104.1623942057295,5139.63330078125,,,,,,,,True,4862.23228828132,
552,5155.0498046875,5245.89990234375,5155.0498046875,5174.5,5174.5,359052,5109.572979266827,5109.572979266827,5191.816569010417,,,,,,,,True,4917.745683563056,
553,5219.0,5229.89990234375,5120.25,5170.14990234375,5170.14990234375,296417,5113.89990234375,5113.89990234375,5173.433268229167,,,,,,,,True,4917.745683563056,
554,5131.0,5189.89990234375,5104.14990234375,5127.39990234375,5127.39990234375,206278,5114.79990234375,5114.79990234375,5140.483235677083,,,,,,,,True,4917.745683563056,
555,5150.0,5156.85009765625,5095.5,5129.9501953125,5129.9501953125,165824,5115.746795654297,5115.746795654297,5127.433430989583,,,,,,,,True,4917.745683563056,
556,5141.0,5187.9501953125,5122.10009765625,5136.75,5136.75,196122,5116.982278262868,5116.982278262868,5148.933430989583,,,,,,,,True,4917.745683563056,
557,5179.39990234375,5213.0,5135.0,5173.64990234375,5173.64990234375,349680,5120.130479600694,5120.130479600694,5173.88330078125,,,,,,,,True,4917.745683563056,
